No.	DRIVER GENES
1	PLCG2
2	TP53
3	EGFR
4	EP300
5	PIK3R1
6	PTEN
7	TTN
8	PIK3CA
9	PRKACA
10	MUC16
11	C8A
12	MUC17
13	PTPN11
14	APOB
15	C6ORF165
16	CHCHD6
17	POTEM
18	MYADM
19	UBC
20	CUL1
21	HELZ2
22	WLS
23	ITGB4
24	STAG2
25	TMEM215
26	GMEB2
27	LRP2
28	ZFYVE16
29	GTPBP3
30	ARHGAP21
31	OR4D10
32	IGKV1-8
33	KCNK4
34	KY
35	IGF1R
36	GOLT1A
37	FAM115A
38	CSNK1G3
39	TMEM144
40	CTNNA2
41	CLCN5
42	GNRH2
43	FAM122B
44	SEC13
45	TP63
46	CALD1
47	PRTN3
48	GC
49	SLC17A9
50	NOTCH4
51	GALNT6
52	MB
53	PLEKHH2
54	TXNIP
55	TBC1D29
56	ATIC
57	PROP1
58	LEMD2
59	PTPN23
60	LRRC7
61	RARS
62	ANAPC2
63	VWA2
64	TPR
65	FAM198B
66	ACSS2
67	NUP210L
68	HCRTR1
69	MKS1
70	TMEM51
71	SAR1B
72	DPF2
73	RNF216P1
74	MON2
75	ELOVL7
76	CCDC84
77	C11orf80
78	RNF41
79	LAMTOR4
80	BRCA1
81	EXD1
82	FBXO9
83	NPAT
84	SUN3
85	FAM47B
86	RB1
87	KLHL7
88	SCAND3
89	GIGYF1
90	PLK4
91	NCBP2
92	PDE10A
93	AP5M1
94	MRPL13
95	C17orf75
96	NGF
97	LPAR1
98	TRIM38
99	PLA2G6
100	OR51E1
101	PPP1R17
102	PTPRK
103	KRT17
104	DEPDC4
105	JMJD1C
106	GINS3
107	C9orf84
108	CLLU1OS
109	SLC6A12
110	ANP32A
111	BRD2
112	HAND2
113	ACP5
114	BET1
115	MRPS27
116	LANCL2
117	OR2AT4
118	MROH1
119	ITGB7
120	KRT33A
121	ASB1
122	ROCK1
123	SMC3
124	OR10H2
125	PIK3CB
126	SULT1C4
127	ZNF45
128	TRIM4
129	TADA2A
130	MELK
131	SLC35G2
132	PHKG1
133	PIGB
134	SNAP47
135	OGDH
136	SHMT1
137	SETD2
138	MRPL16
139	PLIN4
140	BUB3
141	GRB7
142	HNRNPR
143	TIE1
144	ESYT3
145	COMT
146	PEX13
147	PAPD7
148	GATSL3
149	DSP
150	GPKOW
151	PRAMEF12
152	NCAPH2
153	MTMR8
154	PSD4
155	HERC2P3
156	KLF1
157	PNPLA5
158	KDM4C
159	ESRRB
160	TINAG
161	AURKA
162	IRF6
163	PRKAA2
164	COL1A2
165	MBTD1
166	ATP8B2
167	LCE1B
168	SMAD2
169	ITGB3
170	FLT1
171	ST20-MTHFS
172	C14orf183
173	HCFC2
174	SF1
175	MMD
176	EIF4H
177	AFAP1L2
178	BCL2L10
179	RTDR1
180	ZC3HAV1
181	NINL
182	CD276
183	NPFF
184	OR6K3
185	C8orf46
186	PPIP5K2
187	TFEC
188	HMGCL
189	PITPNA
190	OLFML3
191	CNRIP1
192	BEST4
193	PBLD
194	ARRDC5
195	UPK2
196	LRRCC1
197	NUDT11
198	MPDZ
199	HSPA6
200	MPV17L2
201	CCDC141
202	C3
203	IGLV1-51
204	STS
205	ZBTB34
206	OR5C1
207	ARID5A
