No.	DRIVER GENES
1	TTN
2	TP53
3	PIK3R1
4	EGFR
5	PTEN
6	PIK3CA
7	CREBBP
8	RB1
9	PRKACA
10	STAG2
11	NF1
12	PLCG2
13	EP300
14	PIK3R2
15	APOB
16	GNG4
17	DNAH8
18	ACSS2
19	VAV1
20	ADAM7
21	ARC
22	LPAR1
23	RPL5
24	MEFV
25	IGKV1D-16
26	SCFD2
27	PPP1R2
28	SP1
29	SLC6A18
30	LLGL2
31	PRMT10
32	XRN1
33	ZNF692
34	MED17
35	TFEB
36	NCOA2
37	ACSF2
38	POLR3E
39	EP400
40	AQP1
41	CTD-3064M3.7
42	NYX
43	CPNE8
44	PTPN11
45	PPIP5K1
46	CCDC122
47	MYO1B
48	VSIG10
49	SLC39A14
50	DAPP1
51	ERBB4
52	APLNR
53	TRIM52
54	MAP4K3
55	PITPNC1
56	RNASEH2B
57	HHEX
58	YY1
59	LILRB2
60	TIGD4
61	BIN1
62	MAPKAP1
63	ANKRD20A8P
64	CYP2R1
65	PDSS2
66	PRR23B
67	SGOL2
68	ARNT
69	BATF2
70	TRBV5-5
71	COL6A3
72	KCNG1
73	ZNF135
74	CLDN9
75	LIG3
76	ASCC3
77	TRAV4
78	RPSAP52
79	TTLL12
80	SEMA4G
81	POU4F3
82	SYTL3
83	CD163
84	ZKSCAN2
85	SGPL1
86	RP4-651E10.4
87	RSBN1L
88	SNORD116-20
89	WDR19
90	C21orf58
91	ANK2
92	FCHO2
93	IL4R
94	KRTAP13-1
95	LDB3
96	TOMM22
97	POMP
98	GNG5
99	INADL
100	SPTA1
101	ALDOB
102	UBXN4
103	PTPLA
104	ATP1B1
105	PLCZ1
106	LRRC1
107	KLK6
108	P2RX7
109	CLK4
110	KLHL35
111	SFN
112	SMCHD1
113	DPP3
114	HMGA2
115	MIS12
116	IFITM5
117	MZT2B
118	PSG5
119	SLC12A5
120	ABI3
121	TLR8
122	MECP2
123	APBB2
124	MMP17
125	TENM3
126	PRRT2
127	TSPYL4
128	GRM8
129	LRRC24
130	SPP1
131	SAMSN1
132	SLC35A3
133	GFM1
134	CATSPERG
135	IGKV2-30
136	SMARCAD1
137	IGLV3-19
138	TRBV29-1
139	LRRC19
140	ETF1
141	SSTR2
142	ATP2B2
143	DCC
144	NR2C1
145	RABEPK
146	DCTN1
147	GPR82
148	GABARAPL3
149	TDGF1
150	MIR758
151	FOXO4
152	ERN1
153	SSR2
154	UBE2Z
155	OSBPL11
156	SEC23B
157	IGHA2
158	SLC2A4
159	RANBP2
160	ZC3H11A
161	ARFIP1
162	TRAM2
163	ATP2B1
164	EXD3
165	EPT1
166	CCDC94
167	FLT1
168	NUP35
169	IL36RN
170	MYCBP2
171	CHDC2
172	KITLG
173	OR1L1
174	RTN2
175	OR51A4
176	CUTA
177	PROCR
178	OSTF1
179	NRG3
180	SUSD2
181	KLF14
182	PIGR
183	KCNQ4
184	SLC25A53
185	PSMD10
186	ETNPPL
187	MC4R
188	LMLN
189	GDAP1L1
190	CSTL1
191	FBXL17
192	CERS5
193	TNFRSF11A
194	DCLRE1A
195	SLC35E4
196	LAMP3
197	RAB3GAP2
198	HSF1
199	KIF18B
200	PCDHA11
201	CMTR1
202	HACE1
203	ZNF683
204	SLC9A7
205	ST14
206	SYCP1
207	IL27
208	TRIM37
209	ADAM23
210	KRTAP5-2
211	TAPBPL
212	GOLGB1
213	CLASRP
214	TANC2
215	TIGD6
216	UBFD1
217	MCMDC2
218	SLC30A8
219	UNC13A
220	LSM14B
221	C1orf141
222	ZDHHC13
223	GCNT2
224	RBFOX2
225	CTTN
226	SUPT3H
227	VWF
228	GANAB
229	GRIP1
230	OR4C16
231	ZNF337
232	ARCN1
233	APCDD1L
234	ARF5
235	MRPL39
236	ANGPTL7
237	ITLN2
238	ECI1
239	AFF2
240	PADI4
241	ZFAND2A
242	MAP2K4
243	SPTLC3
244	PSG11
245	BCDIN3D
246	OR2T1
247	ACTC1
248	SIPA1L1
249	TMEM184C
250	RASA3
251	KRTAP3-3
252	ISCU
253	MIR99A
254	MRPL43
255	SLC7A10
256	MAP3K7CL
257	MMAB
258	COPRS
259	PCNXL3
260	IL12RB2
261	GLIPR2
262	AC093063.3
263	PSD4
264	DSP
265	PLEKHG6
266	NSRP1
267	ENO3
268	RCN1
269	HNRNPDL
270	COX8C
271	TELO2
272	RFXAP
273	IL21R
274	EGR1
275	CYLD
276	SLC11A2
277	MOV10
278	RIMS2
279	TNNT3
280	RPL7
281	CLEC4E
282	LOXL3
283	WNT8B
284	PAK1IP1
285	LZTS2
286	ANKRD20A4
287	SHOX2
288	BMP6
289	MYL6B
290	ANKRD36B
291	CPSF6
292	MAGEE1
293	LAMA2
294	CTDSP2
295	LMCD1
296	ACTL7B
297	SYT6
298	OR1S1
299	COX5A
300	NXPH2
301	RHD
302	CLCC1
303	MELK
304	DENND1B
305	MIOS
306	MAP2K5
307	TTLL4
308	LTF
309	HIST1H2AB
310	SRSF5
311	CETN1
312	TAP2
313	AC103809.2
314	CAT
315	KCNA4
316	CST9
317	NUP214
318	COPG2
319	PDGFA
320	LY9
321	RRM2B
322	ZNF266
323	CAPN13
324	OR2L2
325	COPS8
326	EEF1A1
327	LPAR5
328	NUDCD3
329	PTPRE
330	PLCXD1
331	SIGLEC8
332	TAF1C
333	LILRB1
334	INS
335	ITCH
336	ERAL1
337	CYP4F12
338	NINJ1
339	RIMBP3
340	TNR
341	ADCY10
342	IFNLR1
343	CELA1
344	TUBG1
345	IKBKB
346	FKBP9
347	OSTC
348	PSG10P
349	SLC27A4
350	EZH1
351	CMC2
352	NAA10
353	DRG1
354	VPS13A
355	TTLL1
356	MAPK3
357	ADC
358	ADAMTS17
359	ARHGEF11
360	GRIN3B
361	MS4A7
362	FANCA
363	TAAR6
364	MCL1
365	UGP2
366	U2AF1L4
367	FANCD2
368	OR5AS1
369	SETDB2
370	IDS
371	GOLGA6D
372	PRSS27
373	WISP2
374	RAB3D
375	NTRK1
376	LRRTM1
377	CYP4X1
378	CHRDL2
379	SLBP
380	EPO
381	KCNG2
382	RAPGEF5
383	ADAMTS19
384	BHMT
385	CDADC1
386	CASP4
387	JADE1
388	GPAT2
389	WBP11P1
390	PHF19
391	C18orf54
392	PGAP1
393	CCDC135
394	PDGFRA
395	CCNF
396	RGMB
397	CLSTN3
398	RCL1
399	HSF2
400	ELMOD3
401	CA6
402	SRI
403	IGSF9B
404	HAPLN1
405	GADL1
406	TRBV4-1
407	MAN1A1
408	CCDC115
409	DBX2
410	LIMD1
411	OR11A1
412	ZFYVE21
413	TBC1D9B
414	CBWD1
415	SNORD115-20
416	WDR34
417	ENTHD1
418	LIM2
419	PTCHD2
420	CEACAM16
421	KLHL5
422	QPCTL
423	SIAE
424	DUSP14
425	NSMAF
426	CTAGE1
427	RP9
428	LGI4
429	OGDHL
430	FOXP3
431	GTF3C1
432	GNB1
433	TMEM154
434	TRPC4AP
435	TAX1BP1
436	HEATR5A
437	TPD52L2
438	A4GNT
439	FGF10
440	ALPK1
441	CENPJ
442	OR56B1
443	PTX4
444	FAM83F
445	FSCN2
446	OSBPL2
447	GTPBP2
448	MRPL46
449	NEDD8-MDP1
450	PTGES3L-AARSD1
451	TMEM108
