No.	DRIVER GENES
1	TP53
2	TTN
3	EP300
4	EGFR
5	SRC
6	PCDH15
7	STAT4
8	SRRT
9	SLC25A47
10	Z95704.1
11	LRRTM4
12	MYO1G
13	ITGA4
14	HSPG2
15	STAT6
16	OTOGL
17	PIK3R2
18	HCK
19	CR2
20	CDS1
21	RALB
22	TRAPPC10
23	ZNF445
24	OR2A1
25	NUP214
26	DCLRE1B
27	CTNNBL1
28	COL6A3
29	RENBP
30	CLTCL1
31	FBXO36
32	UBAC2
33	ZCCHC11
34	TGM3
35	RPS8
36	PRKACA
37	BUD31
38	GALNT6
39	OR2S2
40	PRRG2
41	NUP205
42	PCTP
43	DCHS1
44	PLEKHG7
45	MUC16
46	CCAR1
47	EPO
48	CCDC80
49	LRP2
50	KCNU1
51	RNF207
52	PAX9
53	CRYBA4
54	KRAS
55	RPSAP52
56	APLP2
57	L2HGDH
58	PIK3CD
59	OR7C1
60	AIG1
61	IL26
62	IRAK1
63	NOSTRIN
64	RBMXL1
65	HINFP
66	UBE4B
67	CCDC109B
68	CEP170
69	ADAM10
70	RSPRY1
71	BOLL
72	TARSL2
73	FAT1
74	MUTYH
75	CREBBP
76	MCTP1
77	LCLAT1
78	PLXND1
79	DUSP9
80	TSKS
81	OTOP2
82	C5orf46
83	DCAF4L2
84	TAOK3
85	SLC35C2
86	GOLGA5
87	AC116050.1
88	AK5
89	ELAVL1
90	PIK3C2G
91	FAM160B1
92	C1orf86
93	COL6A1
94	TET1
95	NR5A2
96	KIT
97	IL16
98	DEPDC5
99	C17orf74
100	FBXO6
101	ESM1
102	ITPK1
103	FUS
104	MYH14
105	MICAL1
106	SERPINI1
107	IGHV3-72
108	PIGF
109	GCC2
110	MRPL28
111	MED19
112	GHITM
113	DES
114	STK31
115	SUSD5
116	DCP1A
117	KLHL26
118	NIT2
119	HPCAL4
120	LGI1
121	GSK3B
122	TFPT
123	FAIM2
124	SENP8
125	LYST
126	HHIPL2
127	FASN
128	HOXD1
129	DNAJC30
130	DUOX1
131	SFTPA1
132	CNDP2
133	ST6GALNAC1
134	PPIG
135	GNGT2
136	FABP7
137	SEC23B
138	GATAD2A
139	PAFAH1B1
140	FABP3
141	WFDC12
142	HRH4
143	PPP4R1
144	TAB1
145	IL2RG
146	TRPC4
147	ATF2
148	PPARGC1B
149	MRVI1
150	GRIPAP1
151	TRBV20OR9-2
152	FGFR2
153	CNTNAP5
154	FBN3
155	IGHE
156	IKBKB
157	UBR1
158	LHB
159	MYH1
160	TMEM8B
161	GMEB2
162	WDR55
163	BRCA1
164	ZNF436
165	SH3BGRL2
166	LCA5L
167	PTPN4
168	SHQ1
169	MRPL55
170	CEACAM5
171	ALS2CR11
172	FAT3
173	COASY
174	HTR4
175	CLP1
176	CDK1
177	RNMTL1
178	PPHLN1
179	CXCR4
180	PRELP
181	KRT27
182	MSL3P1
183	HELQ
184	DCST1
185	DEF6
186	RPIA
187	ACKR3
188	TRBV10-1
189	TJP1
190	PEAR1
191	LY6G6C
192	SEMG1
193	ATAD2
194	PRKAA2
195	SPEG
196	PCDHA5
197	LONRF1
198	IFNA14
199	DDIT3
200	GNS
201	PTCH1
202	LRRC36
203	SLC35A1
204	CCNT2
205	TMEM81
206	TRMT5
207	C11orf30
208	TBC1D22B
209	TMEM186
210	MT1F
211	ANKRD52
212	SLIT3
213	LIPE
214	RUNDC3A
215	CDC20
216	MYH10
217	SORCS3
218	MICAL3
219	RS1
220	NUMA1
221	ZFP3
222	VAT1L
223	SFI1
224	TBK1
225	SMCO4
226	RUFY4
227	ZNF169
228	CALML4
229	OSCP1
230	ZNF792
231	ZSWIM2
232	EIF3B
233	SAMD4B
234	XYLT2
235	BRPF1
236	ETV6
237	NDUFA13
238	CCDC108
239	LY96
240	TAF6L
241	RP11-159D12.5
242	RHOXF1
243	RDH8
244	SF3B2
245	OR10G3
246	SPATA12
247	SAMD5
248	SLC2A2
249	C17orf66
250	PHYHIP
251	GMEB1
252	PRKACB
253	GDAP1L1
254	NANOG
255	C1orf68
256	GRIK5
257	ARHGEF12
258	MTMR10
259	CDH1
260	RNF123
261	PC
262	MRFAP1
263	NRIP2
264	CPA5
265	ANKH
266	BMPR2
267	RGS8
268	IRAK3
269	HOXA3
270	TRIB3
271	RPGRIP1L
272	ZNF615
273	HPCA
274	SYNDIG1
275	MYRF
276	CHRND
277	KIF4B
278	ZWINT
279	WWTR1
280	DPF3
281	BNIP2
282	CDH18
283	LHX8
284	CSNK2A1
285	KRT78
286	PON2
287	CCDC70
288	COPB1
289	CDK6
290	ZNF492
291	CGN
292	ZNF645
293	KIAA1211L
294	ADARB2
295	RXFP3
296	PRSS53
297	TAF5L
298	UBE2D3
299	KLK1
300	CD81-AS1
301	ZNF713
302	GOLGA6A
303	HNF4G
304	FAM86DP
305	TINAG
306	MSH5
307	IMMP2L
308	ASAH1
309	ATRN
310	MEX3C
311	FILIP1
312	CSF2RB
313	NAF1
314	C16orf70
315	ZC3HC1
316	PCDHB17
317	CDK16
318	SIRPA
319	SUOX
320	IBSP
321	TAF1D
322	SLC16A4
323	TSLP
324	PAPOLA
325	ACAD9
326	TMEM182
327	WRNIP1
328	SERPINB4
329	PI4KB
330	ACAP1
331	SPATA16
332	ACTR1B
333	NAALAD2
334	DBX1
335	GPS2
336	IGKV1-33
337	SPDEF
338	RAE1
339	TSPAN1
340	PLK1S1
341	KIR2DL1
342	NMT1
343	ZFYVE26
344	CYHR1
345	CLCA1
346	RPLP0P2
347	TNFSF10
348	PDPK1
349	THBD
350	KRT3
351	RGS12
352	MAGEC1
353	LHFPL1
354	CD28
355	MYLIP
356	PRDX1
357	KYNU
358	NOC3L
359	GPRASP2
360	EEF1D
361	AASS
362	MDM2
363	TEKT3
364	MPL
365	GCH1
366	JUN
367	EXOC1
368	DDX26B
369	TTC39C
370	LDB1
371	PLEKHS1
372	ZBTB26
373	BZW1
374	TEFM
375	PRKCD
376	ALKBH8
377	FAM129B
378	PCDHA9
379	CCNA1
380	BASP1
381	ELAC1
382	CMTM4
383	TRMT11
384	HMCES
385	SBF1
386	NECAB1
387	CACNA1A
388	TRHR
389	SLC45A4
390	GMPR2
391	SPOPL
392	ZC3H14
393	BAIAP2L1
394	HADHA
395	LASP1
396	TOMM20L
397	ITIH4
398	CHAT
399	ENDOU
400	VPS45
401	SEC62
402	PPAN-P2RY11
403	FAM50A
404	TRAV16
405	STAT3
406	SEMA4A
407	GABBR1
408	SNRPD1
409	CLECL1
410	KEL
411	CABLES1
412	OR51T1
413	AGTPBP1
414	EPN2
415	SLC25A19
416	DVL3
417	ADAM17
418	ZNF251
419	JAM3
420	CEBPZ
421	SLC16A7
422	NARS
423	RNF216
424	PELI1
425	SLC22A10
426	PRPF39
427	SRFBP1
428	SF1
429	SLC25A10
430	CPO
431	PLD2
432	ATF1
433	NOTCH3
434	SLCO2B1
435	OAT
436	TAPBPL
437	TMEM243
438	TRIM29
439	SEC23IP
440	PRSS21
441	KRBA2
442	SKA3
443	CRCT1
444	ADH5
445	CADM3
446	ST6GALNAC2
447	FANCE
448	CES1
449	AGRN
450	RPS4XP16
451	ZNF496
452	LPPR5
453	DHRS7B
454	ERAL1
455	P4HA1
456	EEF2K
457	TTC17
458	FCF1
459	TMEM202
460	ELP6
461	RNFT1
