No.	DRIVER GENES
1	EP300
2	UBC
3	CREBBP
4	TTN
5	TP53
6	APOB
7	PIK3CA
8	NCOR2
9	SP1
10	SMC3
11	PSME4
12	PLAGL1
13	MUC16
14	ZNF626
15	PTGER4
16	RRP7A
17	ZNF257
18	PLK1
19	CEP164
20	CCR6
21	PRDM1
22	MAFK
23	GRXCR2
24	OR1L6
25	RB1
26	CTNNB1
27	MMS22L
28	IL21R
29	PRKD1
30	RASL11A
31	LRRC27
32	DARS2
33	KCNJ11
34	TMEM181
35	PLS3
36	CARD6
37	EDNRA
38	MAGEC3
39	AKR1C2
40	THBS1
41	HMBOX1
42	TSTD2
43	ODF2
44	ABCD3
45	CCL14
46	TMED1
47	GABRA1
48	STX10
49	PLOD3
50	TRMT2A
51	CEP120
52	GSTM1
53	NT5DC2
54	PML
55	CTR9
56	TMPRSS5
57	KCNA3
58	DHFR
59	CHD4
60	NCOA1
61	JUN
62	CDH2
63	IL1RAPL2
64	BCL6
65	RABGGTA
66	PPIH
67	INHBA
68	NMT2
69	CENPV
70	SLC38A10
71	SEMA3A
72	FBXW2
73	RAET1K
74	DNAH5
75	RLN3
76	DEPDC5
77	ZNF354B
78	ATIC
79	DMTF1
80	PARVA
81	CRB2
82	ZNF546
83	ARHGAP28
84	ZWILCH
85	GLRB
86	CCDC151
87	SH3YL1
88	KRT27
89	ZBTB9
90	CELF3
91	MIA3
92	MS4A12
93	COL6A3
94	MRPL17
95	FOXR1
96	PNKP
97	PTGDR
98	PARS2
99	ZNF287
100	RAPGEF4
101	OR7E24
102	PIK3CG
103	SLC20A1
104	PCDHGA6
105	RNF25
106	ATP4B
107	ZIC5
108	ST8SIA1
109	CHCHD3
110	ZNF549
111	ATP6V1C2
112	ZIK1
113	RNA5SP206
114	WDR18
115	CRB1
116	ZNF483
117	BRAP
118	AP000619.5
119	STAT2
120	ALG12
121	ARHGEF15
122	ATG9A
123	TRAV27
124	SRSF4
125	MIP
126	DPCD
127	TRBV9
128	DZIP3
129	TTC29
130	NADK2
131	ACHE
132	RFPL1
133	PAPLN
134	C2CD3
135	CHN1
136	COL5A3
137	CASP2
138	DIS3L2
139	CYP2C9
140	ADCY1
141	POPDC3
142	NEK5
143	FAM151A
144	RAP2B
145	CALB2
146	KIN
147	TRNAU1AP
148	ERAP1
149	TRDN
150	ZNF548
151	RP11-723O4.9
152	ADAM30
153	TRPC3
154	SIAH2
155	NFATC2IP
156	LDHAL6A
157	NMB
158	KLHL20
159	FLAD1
160	MMP14
161	AMACR
162	PAXIP1
163	LSMEM2
164	POLK
165	TCF4
166	SUN2
167	TRAF7
168	NOSTRIN
169	PAPD5
170	OPCML
171	EPB41L5
172	BPIFA3
173	F13B
174	NEK11
175	AQP2
176	CLEC16A
177	B4GALT7
178	CRYBA2
179	BPHL
180	OR2AK2
181	ARL6IP5
182	PSMD3
183	TM9SF3
184	ESPL1
185	FGFR3
186	KIF4B
187	C12orf23
188	PLEKHN1
189	BCL6B
190	COMP
191	VWA9
192	FAIM3
193	DDX42
194	ZFAND2A
195	MEIS2
196	ATP2B2
197	PCDHA2
198	PACSIN2
199	DAPK2
200	TYRO3
201	JRKL
202	SMAD2
203	ARHGEF25
204	FBXW11
205	TAF1
206	PCDH20
207	RASGRF2
208	CLIP4
209	FAM183B
210	RAB25
211	BGN
212	GOLPH3L
213	C6orf62
214	PCNA
215	TERT
216	ZNF540
217	SSPO
218	SH3TC2
219	ENDOV
220	KLF4
221	TRIM10
222	HTRA4
223	DUS4L
224	CBX7
225	MIR516A2
226	GPR42
227	COPS3
228	SRSF9
229	EIF4A3
230	TNFRSF10A
231	MIEF1
232	ZNF192P1
233	RXFP2
234	PLEKHG2
235	SDC2
236	UBA52
237	DHRSX
238	IGLC7
239	ZMYM2
240	DIO3
241	MEF2A
242	AMBRA1
243	SPO11
244	BEGAIN
245	TUBA3E
246	NUP133
247	FAM120C
248	GLRA4
249	GGN
250	CT45A1
251	CTC-432M15.3
252	SLC30A4
253	LRIT3
254	MAP1LC3C
255	SEC63
256	PRDM9
257	DNAJC10
258	NXT1
259	TBC1D25
260	PMS2CL
261	RPL32
262	AFMID
263	PDCD11
264	DCDC1
265	MYH6
266	HSD17B4
267	SF3A1
268	USP13
269	INPP5D
270	SLIT1
271	SPN
272	USP29
273	IL1B
274	PROP1
275	EGFL8
276	SLAMF6
277	PURG
278	WFDC12
279	RGS6
280	BMP1
281	MIB2
282	EPPK1
283	C9orf9
284	UBAP2
285	IGKV4-1
286	HIST1H1D
287	TMEM243
288	SLC39A3
289	MIR1207
290	NEU3
291	ANKRD33
292	DNAH6
293	PSMD11
294	RAD50
295	YLPM1
296	DCLK1
297	SIRPB2
298	KCTD10
299	MOB3C
300	KLHL23
301	NMBR
302	FBXO15
303	DMP1
304	SCLT1
305	NDUFV3
306	ZNF761
307	DCAF16
308	SRA1
309	C1orf200
310	NMT1
311	HOXC5
312	GLDC
313	KCND1
314	KCND2
315	C14orf177
316	SNORD3D
317	CLDN15
318	NCK2
319	CD6
320	NEK9
321	GSTA2
322	SPP1
323	C1orf198
324	ESF1
325	CCDC84
326	LINC00174
327	SCGB2A2
328	PKIA
329	PRAMEF12
330	PIK3R2
331	TDP1
332	COL25A1
333	EIF4A1
334	RASL10A
335	ZRANB2
336	ZNF561
337	GLP1R
338	IVNS1ABP
339	KMT2D
340	ETS1
341	HHEX
342	EEF2
343	IQSEC1
344	KRT76
345	DUSP10
346	GALNT6
347	CDC20
348	PRMT2
349	PLXND1
350	CASR
351	KRTAP5-1
352	TMC5
353	GNPTG
354	MYO15A
355	MRPL45P2
356	SLC6A12
357	LMO7
358	C9orf50
359	CYP7B1
360	FAM149A
361	GMEB1
362	JMY
363	AK3
364	CLEC3A
365	MMP3
366	CCDC135
367	NTN1
368	QDPR
369	KRT36
370	CACNA2D4
371	IFNA13
372	EYS
373	PCDHGA1
374	INHA
375	IL15RA
376	CBX4
377	ACBD5
378	ADAM8
379	BIRC2
380	DUSP22
381	NOP9
382	ZNF578
383	UBASH3A
384	RDM1
385	HEMK1
386	ZNF536
387	RNF168
388	TRPC4AP
389	RP11-29G8.3
390	PRAMEF4
391	OTOP1
392	OR4K13
393	HPCA
394	ZWINT
395	WHAMM
396	TRO
397	RNF43
398	GAS6
399	MIR4747
400	OXER1
401	CTSA
402	PPP1R9A
403	KREMEN2
404	ANGPTL1
405	PCDH18
406	LMCD1
407	KIF3B
408	MPPED1
409	VDAC3
410	PFN4
411	TMEM230
412	EDNRB
413	OR10T2
414	TBC1D15
415	HAND1
416	GALNT14
417	PI4K2B
418	BAALC
419	SLC6A15
420	TSPEAR
421	POP5
422	U2AF2
423	KCMF1
424	CARD14
425	ZNF229
426	MSRB1
427	HK1
428	RAB5C
429	SERBP1
430	ADRA1A
431	ATR
432	CD1C
433	GARS
434	LINC00935
435	TBC1D26
436	YWHAH
437	KLKP1
438	MECP2
439	TSSK6
440	TMEM108
441	FAM171B
442	DEFA6
443	DLX2
444	ATG4D
445	GGCT
446	MEF2B
447	LGALS3BP
448	SPAG8
449	SLC19A3
450	RHBDL3
451	GTSF1L
452	OR2B11
453	OR9K2
454	SRPK1
455	KCTD15
456	CLDN19
457	RPS16
458	PCDHGA9
459	CLCN5
460	CEACAM1
461	BDH1
462	IPP
463	MXRA8
464	RNF214
465	MUC19
466	GLI1
467	LRCH2
468	C1R
469	TBX15
470	DUSP3
471	SIN3B
472	MIPEP
473	SWT1
474	ZNF776
475	ZNF674
476	TOMM40L
477	CD8B
478	ETNK2
479	DPAGT1
480	SLC36A2
481	BTF3
482	APBB1IP
483	RAB3B
484	TTLL11
485	EPHB6
486	EBF2
487	UPB1
488	AGT
489	PRAMEF13
490	MTTP
491	ONECUT2
492	ZNF727
493	MFSD10
494	TFEC
495	EBLN2
496	C8B
497	HPGDS
498	POLR2A
499	HLA-F
500	LMAN1L
501	GYG2
502	PTBP1
503	BTRC
504	LAMA2
505	HINFP
506	MEGF8
507	DUXA
508	CDA
509	C15orf26
510	C10orf2
511	ZCCHC17
512	CSGALNACT1
513	FAM127B
514	ADK
515	ZBTB16
516	TRAJ3
517	WASH3P
518	NIPAL1
519	KIAA1731
520	TIMM23
521	SLC51B
522	ZNF733P
523	KREMEN1
524	PRKCZ
525	FEN1
526	SLC22A5
527	ACADM
528	ASB14
529	PUM1
530	TNXB
531	CRISP3
532	SLC10A1
533	ATP5C1
534	STRN3
535	C3orf18
536	RBM5
537	SSTR4
538	ZNF227
539	PDHB
540	SERPINB1
541	CSNK2A1
542	CECR1
543	NPAP1
544	KLF11
545	NUTM1
546	DYNLRB2
547	TEX26
548	ZNF234
549	NPM2
550	DDX41
551	CCDC144NL
552	TMEM198
553	MYO1G
554	CTNNA1
555	FILIP1L
556	NBR1
557	FOXO4
558	CRY2
559	NELFCD
560	NDRG1
561	UNC5D
562	RAC1
563	LRRCC1
564	SPANXC
565	TRIM49C
566	PCDHB15
567	STRADA
568	MAGED1
569	SOGA2
570	APPBP2
571	RD3
572	ATOH8
573	MYT1L
574	ABCG1
575	MTMR8
576	CCSER1
577	BMP15
578	LTV1
579	TCEB1
580	LZTS3
581	TSPO2
582	JAM3
583	TBC1D32
584	RPEL1
585	SS18L1
586	PRAMEF20
587	NEUROD4
588	KRIT1
589	CPSF7
590	MAOA
591	PTP4A2
592	METTL18
593	CPA5
594	MYO10
595	ID1
596	TNF
597	APOA2
598	CD1A
599	TBC1D22A
600	MED1
601	MRO
602	NDUFB6
603	PIK3C3
604	LRWD1
605	SIPA1L1
606	KDELR2
607	CYP20A1
608	TK2
609	PCDHB8
610	SULT1B1
611	TAS2R20
612	MSGN1
613	ZNF81
614	FCAR
615	SCO1
616	POLR3G
617	GABPA
618	BCL2L14
619	PDE9A
620	S100A7L2
621	PHKA1
622	SPTBN4
623	MRPS5
624	FGA
625	HIST1H2AJ
626	TERF2IP
627	DOK5
628	SNRNP48
629	CACNG4
630	WTIP
631	INTU
632	ERI2
633	SLA
634	GRIN3A
635	IGHD
636	CKAP5
637	ZHX3
638	FBP2
639	NCAPH2
640	C19orf24
641	C12orf5
642	FLNA
643	ARHGEF40
644	PIK3IP1
645	GMPR2
646	ZNF22
647	SYNJ2
648	LHX1
649	RUFY2
650	CHMP4A
651	MIR519A1
652	SMARCC1
653	GMPS
654	INSR
655	CWC22
656	KLHL7
657	GSX1
658	OR52M1
659	OR8S1
660	LDHD
661	IL10
662	PPP1R10
663	FBXW4
664	PROX1
665	TMX2
666	KLHL6
667	RBM25
668	RP11-1055B8.7
669	PLD6
670	LY96
671	F2
672	ILK
673	FAM135B
674	CBS
675	ANXA7
676	SIRT7
677	GNA11
678	WRNIP1
679	DCAF11
680	GATA2
681	CERS4
682	XXYLT1
683	CHST12
684	SEMA6C
685	POU1F1
686	ZRANB3
687	DNM1P46
688	ARPC1A
689	LRRC37B
690	DDX26B
691	PJA1
692	WARS
693	SPEG
694	CYB561D2
695	SERPINE2
696	VENTX
697	DECR1
698	MUM1
699	RBM4
700	OR2K2
701	CD33
702	UROD
703	LHX2
704	AC093063.3
705	SRPRB
706	AMHR2
707	GRIA2
708	PGM1
709	RASSF4
710	PPP1R12A
711	KLHL40
712	PTER
713	CAMSAP3
714	ZEB2
715	LCE3E
716	OR5A2
717	AP4M1
718	F13A1
719	SPRR3
720	TRA2A
721	AC126323.1
722	TSSC2
723	TGM4
724	RBPJ
725	SYP
726	SUCLG2
727	POLR3A
728	GSS
729	RAN
730	SLC46A3
731	PTDSS1
732	ATMIN
733	CRTC3
734	HELZ
735	PTPN18
736	ZNF780A
737	ACAP2
738	BRWD3
739	NFIA
740	TEKT3
741	ERG
742	TAS1R3
743	TRAM1L1
744	ZNF766
745	MMAB
746	GRIP2
747	AOC2
748	ACTL6B
749	ARAF
750	INSL6
751	PAK3
752	SEMA3E
753	IGHV1-69
754	MIR520C
755	MED24
756	AREL1
757	UBE2D3
758	NDUFB4
759	ETV3L
760	C20orf196
761	KCNJ14
762	CNGA1
763	BATF2
764	KLC1
765	SYNRG
766	SBNO2
767	OXCT1
768	SDHAP1
769	ABCB11
770	IFNA17
771	JAK1
772	OSBP
773	PLEKHG4B
774	ATL2
775	CFHR4
776	RNF148
777	RNF19A
778	RCAN2
779	ART4
780	FUBP1
781	KIAA0556
782	EHD1
783	TNS3
784	RPUSD4
785	MKX
786	SNRPE
787	GGNBP1
788	NPTX2
789	CD5L
790	WDR63
791	CTC1
792	NPFFR2
793	PALMD
794	EMC1
795	SNRPA1
796	CREM
797	C20orf197
798	OASL
799	LSAMP
800	ZNF609
801	CYP26A1
802	LPIN1
803	ZNF148
804	GSTA1
805	LNX1
806	C1orf101
807	HSP90B1
808	IST1
809	HSD17B1
810	HPX
811	UGDH
812	Z95704.1
813	HDAC1
814	AGGF1
815	RPS27A
816	SMPDL3A
817	KDM1A
818	TARSL2
819	IFNA14
820	MAPK8IP2
821	OR5T2
822	SLMAP
823	MIDN
824	LCLAT1
825	PRDX3
826	INPP5K
827	IRF2BPL
828	SPATA32
829	DMBT1
830	WDR31
831	B3GALT1
832	SLC30A10
833	PLCB3
834	RTEL1
835	CXorf66
836	AC004381.6
837	GPR17
838	FAM107B
839	PLA2G12A
840	TUBB8P7
841	OR14I1
842	ABI3
843	CUTC
844	ARGFX
845	CDCP2
846	ZBTB45
847	EVA1C
848	PPP1R21
849	CXCL2
850	EFS
851	NUP85
852	OTUD7B
853	TSEN15
854	HYAL4
855	ESRRB
856	EIF4G1
857	ABCG8
858	L3MBTL2
859	NQO1
860	RAI14
861	CSTA
862	OR7G3
863	ASTN1
864	NLRP9
865	SNRNP70
866	ATP4A
867	ANKRD17
868	ITGB1BP2
869	PLXDC1
870	TRAPPC4
871	FAM127C
872	IGLV5-45
873	UBASH3B
874	SLC30A8
875	CPLX1
876	LYN
877	ZSCAN1
878	FAM175A
879	TRIB3
880	GPR113
881	POLR3H
882	TSGA10IP
883	CPNE8
884	ACTN2
885	MSX1
886	CSRNP1
887	PSD3
888	FCRL4
889	PLAU
890	SLIT2
891	SDF4
892	SULT2A1
893	CHEK1
894	SPATA9
895	PFKFB4
896	ATP7B
897	OR1L4
898	ZCCHC24
899	RNPS1
900	ABCA10
901	HAL
902	CPM
903	RASSF5
904	KRT82
905	IL11RA
906	EIF4A2
907	OR6C68
908	RNLS
909	DLGAP5
910	PTF1A
911	ZNF625
912	HTRA1
913	CETP
914	ZNF17
915	ASNSD1
916	PIGL
917	SLC48A1
918	NPL
919	GLIS1
920	LCE1D
921	DDX21
922	C12orf74
923	DNAH12
924	ARIH2
925	FUT6
926	P2RX1
927	AAMP
928	BCL2L2-PABPN1
929	ZKSCAN1
930	JADE3
931	C18orf8
932	IL2RG
933	ADIPOR1
934	RNF13
935	DISP2
936	MDM1
937	RPF2
938	PLA2G4B
939	SLC10A6
940	IZUMO2
941	CCDC91
942	COG2
943	SATB2
944	RGS1
945	TPM2
946	HS2ST1
947	MTSS1L
948	IGLV2-33
949	ZNF274
950	MIR20B
951	ZNF491
952	UCHL3
953	RRP9
954	AKR1A1
955	KCNA2
956	FBXW9
957	OR5D13
958	IFFO1
959	IBSP
960	LCT
961	P4HB
962	DLG1
963	CHMP1B
964	WDR60
965	RAD54L2
966	SLTM
967	CDC42EP4
968	BTNL3
969	ANAPC16
970	PRDM16
971	TMEM63A
972	KSR1
973	HLA-DPB1
974	WLS
975	MIR512-2
976	SLC38A9
977	FAM83F
978	DOPEY1
979	GRIK3
980	CNN2
981	KRTAP10-4
982	NT5C1A
983	DFNA5
984	RAB22A
985	LAMC2
986	MKS1
987	KIAA1598
988	ATP13A4
989	AGER
990	RP11-252A24.2
991	LURAP1
992	MX2
993	SUB1
994	SPATA31E1
995	DPH2
996	MRGPRX1
997	TSR3
998	ABHD2
999	LUC7L3
1000	SCP2
