No.	DRIVER GENES
1	TP53
2	EP300
3	PIK3CA
4	FOXA1
5	TTN
6	PTEN
7	CTNNB1
8	NEUROD4
9	NSL1
10	UQCRH
11	C10orf82
12	HINT2
13	KCNE2
14	PRKACA
15	RP11-812E19.9
16	CNR1
17	KDR
18	INHBC
19	MAB21L2
20	USP10
21	SCAI
22	ZC3H12C
23	IGKV1-6
24	MFAP3L
25	FAT1
26	UTP14C
27	ARCN1
28	EFTUD1
29	CTC1
30	TENM2
31	RELA
32	SF3B1
33	RBMS2
34	PLXNA4
35	KLC1
36	TAP1
37	TMPRSS7
38	HTR2C
39	TIPIN
40	KIF2B
41	ANKS4B
42	OR12D2
43	MLPH
44	PRSS48
45	ACTB
46	KRT4
47	BRCA1
48	LTF
49	GREM1
50	SELP
51	PARP1
52	JPH3
53	USP4
54	CECR5
55	ANKRD52
56	XPC
57	ZFP42
58	OR8B2
59	FMO1
60	RAB25
61	AC022596.6
62	FAM199X
63	SLC29A1
64	NOX1
65	PRM1
66	DTD1
67	ANO1
68	CYP4F12
69	ATF2
70	DR1
71	EIF4E
72	EXOC6B
73	MRPL15
74	ARID3A
75	WFDC8
76	TMEM120B
77	SLC13A4
78	GOLIM4
79	CHST13
80	PLEKHG1
81	POU5F2
82	TAF1L
83	AK2
84	RNF149
85	H2AFJ
86	GRIK1
87	GJA5
88	PMF1
89	BCAR1
90	GPR56
91	MBNL2
92	RIC8A
93	FRG1B
94	TMEM66
95	OR5H15
96	SUMO2
97	PYCR1
98	GPR156
99	GALNT10
100	DLG2
101	TRPM5
102	C1orf172
103	RP11-85G18.6
104	SPN
105	DYRK1B
106	GRPR
107	NRXN3
108	MRPL40
109	AK5
110	CCR9
111	INCENP
112	YKT6
113	SCIN
114	APOC1
115	KNTC1
116	RPLP0
117	OR2T10
118	MADD
119	ITGA2B
120	GNAQ
121	NCOA2
122	DBF4
123	ST7L
124	GZF1
125	SP1
126	RASAL1
127	IDH1
128	MAN1A1
129	C18orf8
130	CPT1C
131	OBP2B
132	CDH12
133	LRRC14B
134	GPR128
135	FAM86HP
136	PHIP
137	TRMT13
138	ZBTB4
139	DUSP13
140	TMEM51
141	ATF7IP2
142	CDK12
143	ZNF572
144	CWC27
145	C1orf116
146	SELL
147	ZNF37A
148	LHX5
149	IRF2BP1
150	GLI1
151	LPAR6
152	CCM2L
153	ANO2
154	SPINK2
155	MTRR
156	KIAA0430
157	OR52E4
158	PARP9
159	BAG4
160	ZNF236
161	ZNF622
162	TPT1
163	FMNL3
164	C1orf86
165	RBFOX1
166	C9orf9
167	TMEM116
168	ACOT12
169	MFSD5
170	GAS2L3
171	LSR
172	TMEM132A
173	GLOD4
174	DOPEY2
175	BTLA
176	BCKDK
177	NPHP3
178	AIF1
179	GRIA1
180	GRIP2
181	CBFA2T3
182	CAPSL
183	RDH12
184	ZNRF2
185	IL1R2
186	NBPF10
187	IGFBPL1
188	ZNF486
189	CREB3
190	SYN2
191	CES4A
192	DOCK10
193	ACSM2B
194	ITGA4
195	VAMP5
196	NARF
197	GRIK2
198	ACSM2A
199	ICMT
200	MYBPHL
201	ROMO1
202	NEO1
203	DDX58
204	SOWAHC
205	HNRNPR
206	NBPF20
207	CYP2A6
208	PCDHA10
209	CAAP1
210	MYOD1
211	PKD1L2
212	ARC
213	ZNF607
214	HS1BP3
215	MIR325
216	ZFAND2A
217	AGTRAP
218	PAX4
219	MIB2
220	MMAB
221	RAB39A
222	STT3A
223	APAF1
224	KRAS
225	PLK3
226	TMEM62
227	KCNA4
228	SPATA6L
229	OR6N2
230	GNB2
231	COL28A1
232	C14orf119
233	FAM153A
234	INS-IGF2
235	SDPR
236	TAC1
237	C19orf10
238	CDR2
239	OR5R1
240	OR2H2
241	TRIP12
242	PKDREJ
243	NUPL2
244	PBX3
245	TBX4
246	CABLES1
247	SMCR8
248	GSTA2
249	OR2A12
250	GLRX5
251	LDHB
252	RXRA
253	PHLPP2
254	DNAJC4
255	PPM1L
256	COCH
257	PCDHB14
258	PSME1
259	RAB33A
260	GPR123-AS1
261	CES2
262	ZNF678
263	CDKL4
264	EPHB1
