No.	DRIVER GENES
1	TP53
2	EP300
3	FOXA1
4	PIK3CA
5	ADCY5
6	EHD4
7	LPIN2
8	PSME4
9	NES
10	MROH9
11	CIRH1A
12	KRTAP19-7
13	ZNF506
14	TMEM40
15	COL5A3
16	ZNF607
17	AADACL3
18	GALNT1
19	LCN8
20	SLC4A3
21	SP100
22	KRCC1
23	RASSF1
24	C4orf22
25	PCDHA4
26	HERC2P3
27	SP1
28	LYPD5
29	ST6GALNAC1
30	RBBP8
31	WBSCR17
32	LFNG
33	MAP3K4
34	NLRX1
35	KRT10
36	LCE2A
37	CINP
38	NPDC1
39	RTBDN
40	CNTROB
41	PIK3CB
42	CREB5
43	PHC3
44	CYFIP2
45	STK11IP
46	HINFP
47	RARB
48	RABGAP1L
49	CT47B1
50	ZNF833P
51	KCNB1
52	PSMC6
53	RP11-439A17.4
54	HCG17
55	RABL6
56	CCDC110
57	ZBTB17
58	MYL4
59	RYR2
60	FAT3
61	TRIO
62	RHOQ
63	SYT1
64	OR2M2
65	MFN1
66	APOC4
67	SLC26A8
68	GRXCR2
69	KLHL36
70	MED11
71	CKMT2
72	AMPD2
73	CDCA2
74	NBPF14
75	DYNC1I1
76	ARSH
77	RASA1
78	SLC35E4
79	SHC1
80	PDDC1
81	TSHZ3
82	SYN2
83	CSH2
84	SOX7
85	IARS
86	ALG8
87	FBXW5
88	MAP4
89	SHROOM1
90	SPEN
91	HIST1H4J
92	PLAC8
93	CDX1
94	SDSL
95	FBLN1
96	ISG15
97	BLM
98	MRPS23
99	OR52M1
100	AADAT
101	TMEM132B
102	LTBP4
103	OR13D1
104	STK36
105	KIAA1524
106	SMG9
107	CCT3
108	CLEC5A
109	CLN8
110	KLF11
111	PRRT3
112	C3orf65
113	ZNF518A
114	RBFOX2
115	ANGPTL5
116	SDHD
117	F2R
118	AGO4
119	PDLIM7
120	ACVR2A
121	RBMS3
122	AXIN1
123	PIKFYVE
124	SCN5A
125	TTC22
126	GAREM
127	SLC6A18
128	TTYH3
129	WIF1
130	ZBTB38
131	TUBB4A
132	TMEM132D
133	KALRN
134	SEC61A1
135	STAT3
136	UGT1A4
137	CDAN1
138	PCDHB7
139	VAV1
140	SRCIN1
141	CDC40
142	OR10R2
143	AMIGO2
144	TPGS1
145	MRPL13
146	PCDHGB6
147	ARID4B
148	ITGA2B
149	SNX29P2
150	EGR4
151	ACTBL2
152	NUP133
153	CD37
154	RHOA
155	HLF
156	KLK8
157	VRK2
158	OR8B3
159	NAT8L
160	CLASP2
161	FBXL18
162	MTMR14
163	RRNAD1
164	INPP5A
165	SLC6A7
166	ZNF567
167	NOTCH3
168	FOXA2
169	PRAMEF2
170	GJC2
171	FLII
172	WARS
173	APPL2
174	C1orf200
175	CDKL1
176	NOTCH1
177	RWDD3
178	ZNF219
179	CEP41
180	RTP1
181	ZNF534
182	TMEM18
183	TMEM2
184	FANCD2OS
185	IGHV2-5
186	TMEM237
187	C12orf71
188	UTP14C
189	PCDHGB7
190	AVPR1B
191	BAG2
192	RTN4R
193	RGS3
194	CACNA1D
195	LMLN
196	E2F3
197	PPT1
198	COL17A1
199	RALGDS
200	SLC6A5
201	TROAP
202	HDLBP
203	MUC3A
204	DYNC1LI1
205	CHERP
206	GCNT3
207	SLC3A1
208	GGT6
209	CD101
210	RHD
211	SPTLC2
212	HSPA6
213	STK17B
214	ABCG8
215	PTPN14
216	IGF2BP2
217	MGAT2
218	SLC22A24
219	WDR49
220	TAGLN2
221	FLRT1
222	FAM198B
223	LINC00173
224	VEGFC
225	SP2
226	RAD51B
227	PSMD7
228	PFN2
229	CAPZA1
230	DLGAP4
231	PTEN
232	EXOSC10
233	ASTE1
234	SRGAP3
235	SLC13A4
236	ASL
237	KIAA0430
238	NLRP3
239	SULT1E1
240	EML5
241	LARP1B
242	SLC22A10
243	LRP5L
244	CPA5
245	GPR133
246	AKAP11
247	RAB25
248	CUTC
249	MAP1B
250	DNHD1
251	HAVCR2
252	USO1
253	ANKRD36BP2
254	TSACC
255	RPS9
256	IFIT5
257	KIR3DL1
258	ESPNP
259	DNAH17
260	RPL23
