rank	degree	gene	p-value
1	190976	TP53	5.23626005362e-05
2	9591	EP300	0.00104264414555
3	6055	TTN	0.00165152766309
4	4834	EGFR	0.00206868018204
5	4255	CREBBP	0.00235017626322
6	2510	BRCA1	0.00398406374502
7	2303	PRKACB	0.00434216239687
8	2233	SRC	0.00447828034035
9	2195	LRP2	0.00455580865604
10	2073	FAT3	0.00482392667631
11	1782	STAT3	0.00561167227834
12	1697	CACNA1C	0.00589275191514
13	1677	SNRNP200	0.00596302921884
14	1644	KRAS	0.00608272506083
15	1633	PIK3R2	0.00612369871402
16	1574	COL6A3	0.00635324015248
17	1553	PCDH15	0.0064391500322
18	1527	MUC16	0.00654878847413
19	1373	INSR	0.00728332119446
20	1330	PRKACA	0.00751879699248
21	1197	DMD	0.00835421888053
22	1159	CLTCL1	0.00862812769629
23	1077	POM121	0.00928505106778
24	1053	HSPG2	0.00949667616334
25	1043	FAT1	0.00958772770853
26	966	KIT	0.0103519668737
27	932	STAT6	0.0107296137339
28	912	NUP214	0.0109649122807
29	888	NUP205	0.0112612612613
30	882	HCK	0.0113378684807
31	859	TOP2A	0.011641443539
32	855	SRRT	0.0116959064327
33	809	NUMA1	0.0123609394314
34	808	JUN	0.0123762376238
35	787	ELAVL2	0.012706480305
36	711	CLTC	0.014064697609
37	707	CEP192	0.01414427157
38	684	PIK3CD	0.0146198830409
39	665	ACTBL2	0.015037593985
40	659	CDC20	0.0151745068285
41	656	DCHS1	0.015243902439
42	644	STAT4	0.0155279503106
43	636	CDH1	0.0157232704403
44	625	ITGA4	0.016
45	618	PIK3C2G	0.0161812297735
46	571	CDK1	0.0175131348511
47	537	PAPOLA	0.0186219739292
48	534	CTNNBL1	0.0187265917603
49	526	CCAR1	0.0190114068441
50	508	BMPR2	0.0196850393701
51	486	CXCR4	0.0205761316872
52	480	ACTB	0.0208333333333
53	478	PPP2R2A	0.0209205020921
54	475	COPB1	0.0210526315789
55	472	IKBKB	0.021186440678
56	462	PCDHA9	0.021645021645
57	457	CSF2RB	0.0218818380744
58	453	CCNT2	0.0220750551876
59	451	FUS	0.0221729490022
60	449	FGFR2	0.022271714922
61	443	CACNA1A	0.0225733634312
62	442	TPR	0.0226244343891
63	415	SF3B2	0.0240963855422
64	412	PRKAA2	0.0242718446602
65	408	SMARCA2	0.0245098039216
66	403	PCDHGA3	0.0248138957816
67	369	IRAK1	0.0271002710027
68	368	RPS8	0.0271739130435
69	359	CSNK2A1	0.0278551532033
70	347	ATF2	0.028818443804
71	345	ITGB7	0.0289855072464
72	305	DAP3	0.0327868852459
73	297	TJP1	0.03367003367
74	285	PI4KB	0.0350877192982
