rank	degree	gene	p-value
1	24852	TP53	0.000402382102044
2	4604	EP300	0.00217202432667
3	4598	CTNNB1	0.00217485863419
4	4132	FOXA1	0.00242013552759
5	3835	PIK3CA	0.0026075619296
6	3507	ATM	0.00285143997719
7	2300	TTN	0.00434782608696
8	2241	PTEN	0.00446229361892
9	1952	HSPA8	0.00512295081967
10	1666	PRKACA	0.00600240096038
11	1537	FAT3	0.00650618087183
12	1374	SP1	0.00727802037846
13	1019	RELA	0.00981354268891
14	990	GRIA1	0.010101010101
15	953	AKT1	0.0104931794334
16	804	PTPRC	0.0124378109453
17	756	SF3B1	0.0132275132275
18	738	RTP1	0.0135501355014
19	737	ACTB	0.0135685210312
20	597	VAV1	0.0167504187605
21	553	COL7A1	0.0180831826401
22	510	EPHB1	0.0196078431373
23	504	PRKCZ	0.0198412698413
24	500	HNRNPR	0.02
25	499	CTCF	0.0200400801603
26	486	PCDHB7	0.0205761316872
27	477	STAT1	0.020964360587
28	465	ITGA2	0.0215053763441
29	441	PRPF8	0.0226757369615
30	436	KDR	0.0229357798165
31	421	ITGA2B	0.0237529691211
32	386	NUP214	0.0259067357513
33	378	RPL10A	0.026455026455
34	364	KIF2B	0.0274725274725
35	346	ITGA7	0.028901734104
36	340	NCOA3	0.0294117647059
37	328	UTP20	0.030487804878
38	325	RXRA	0.0307692307692
39	323	BCLAF1	0.030959752322
40	318	RPA1	0.0314465408805
41	312	ATF2	0.0320512820513
42	297	HGF	0.03367003367
43	294	KRAS	0.0340136054422
44	291	SPTBN2	0.0343642611684
45	276	ITGA4	0.036231884058
46	276	GLI1	0.036231884058
47	275	MED1	0.0363636363636
48	274	BRCA1	0.036496350365
49	273	PDGFRA	0.03663003663
50	273	NRXN3	0.03663003663
51	270	TRIP12	0.037037037037
52	264	IRF4	0.0378787878788
53	263	CHD3	0.0380228136882
54	262	FLNA	0.0381679389313
55	260	CDK5RAP2	0.0384615384615
56	253	MEF2C	0.0395256916996
57	243	CDK12	0.0411522633745
58	229	PARP1	0.0436681222707
59	220	CTNNBL1	0.0454545454545
60	216	FAT1	0.0462962962963
61	216	PAX5	0.0462962962963
62	212	GNAQ	0.0471698113208
63	210	PCDHGB7	0.047619047619
64	209	YWHAZ	0.0478468899522
65	208	TAF1L	0.0480769230769
66	205	CSF1R	0.0487804878049
67	204	DLG2	0.0490196078431
68	202	PCDHB4	0.049504950495
69	197	RPLP0	0.0507614213198
