rank	degree	gene	p-value
1	24852	TP53	0.000402382102044
2	4678	EP300	0.00213766566909
3	4200	FOXA1	0.00238095238095
4	4022	PIK3CA	0.00248632521134
5	2358	PTEN	0.00424088210348
6	2183	STAT3	0.00458085203848
7	1673	FAT3	0.00597728631201
8	1657	HRAS	0.0060350030175
9	1286	SP1	0.00777604976672
10	1066	ANK2	0.0093808630394
11	1037	RELA	0.00964320154291
12	1035	RYR2	0.00966183574879
13	777	PIK3CB	0.01287001287
14	738	RTP1	0.0135501355014
15	614	RHOA	0.0162866449511
16	609	CENPE	0.0164203612479
17	597	VAV1	0.0167504187605
18	588	NUP160	0.0170068027211
19	582	NUP133	0.0171821305842
20	578	PCDHA4	0.0173010380623
21	559	PCDH11Y	0.0178890876565
22	544	TUBB4A	0.0183823529412
23	541	JAK1	0.0184842883549
24	532	DYNC1I1	0.0187969924812
25	527	EPHB1	0.0189753320683
26	507	SHC1	0.0197238658777
27	506	NUP107	0.0197628458498
28	496	ITGA2B	0.0201612903226
29	491	STAT4	0.020366598778
30	488	PCDHB7	0.0204918032787
31	463	NOTCH1	0.0215982721382
32	440	PPARGC1A	0.0227272727273
33	410	CLASP2	0.0243902439024
34	379	ACTBL2	0.0263852242744
35	372	ERCC2	0.0268817204301
36	362	SCN5A	0.0276243093923
37	360	CACNA1D	0.0277777777778
38	351	PCDHGA1	0.02849002849
39	338	CACNA1A	0.0295857988166
40	337	RAC3	0.0296735905045
41	333	SEH1L	0.03003003003
42	311	ATF4	0.032154340836
43	289	COL5A3	0.0346020761246
44	287	CHERP	0.0348432055749
45	254	PIKFYVE	0.0393700787402
46	242	ADCY8	0.0413223140496
47	235	RHOC	0.0425531914894
48	231	MYH6	0.04329004329
49	228	COL17A1	0.0438596491228
50	216	NOTCH3	0.0462962962963
51	210	PCDHGB7	0.047619047619
52	207	TP63	0.048309178744
53	205	CREB5	0.0487804878049
54	201	PRKAA2	0.0497512437811
55	199	RBCK1	0.0502512562814
56	196	COL11A2	0.0510204081633
57	193	NCOA2	0.0518134715026
58	190	TRIO	0.0526315789474
59	186	CNR1	0.0537634408602
60	185	HEATR1	0.0540540540541
61	184	RPS27	0.054347826087
62	182	DYNC1LI1	0.0549450549451
63	175	MYH11	0.0571428571429
64	165	MYLIP	0.0606060606061
65	165	SHC3	0.0606060606061
66	163	RPL23	0.0613496932515
67	160	PAK2	0.0625
68	160	CEP41	0.0625
69	154	CDK2	0.0649350649351
70	153	IFT88	0.0653594771242
71	149	TNF	0.0671140939597
72	146	DVL1	0.0684931506849
73	144	PSMC6	0.0694444444444
74	143	PSMD7	0.0699300699301
75	143	CCNF	0.0699300699301
76	142	RARB	0.0704225352113
77	141	PCDHGA6	0.0709219858156
78	139	SPEN	0.0719424460432
79	139	EXOSC10	0.0719424460432
80	138	EIF4A1	0.0724637681159
81	138	RPS9	0.0724637681159
82	137	CDC40	0.0729927007299
83	133	CAPZA1	0.0751879699248
84	130	ARID1B	0.0769230769231
85	130	PTPRD	0.0769230769231
86	129	RHOQ	0.077519379845
87	128	PSME4	0.078125
88	127	ZFHX3	0.0787401574803
89	125	AXIN1	0.08
90	125	HNF1A	0.08
91	124	CYFIP1	0.0806451612903
92	122	ROBO2	0.0819672131148
93	119	SEC24C	0.0840336134454
94	117	SP100	0.0854700854701
95	114	F2R	0.0877192982456
96	113	PIK3C2A	0.0884955752212
97	113	SP2	0.0884955752212
98	112	FOXA2	0.0892857142857
99	104	NGFR	0.0961538461538
100	104	ARID4B	0.0961538461538
101	103	MCM2	0.0970873786408
102	98	CYFIP2	0.102040816327
103	98	DNMT3A	0.102040816327
104	97	MTMR2	0.103092783505
105	97	RHOU	0.103092783505
106	96	PTK2B	0.104166666667
107	96	MRPS10	0.104166666667
108	96	PTCD3	0.104166666667
109	95	CXCR2	0.105263157895
110	95	ACVR2A	0.105263157895
111	93	USO1	0.10752688172
112	91	COPS7A	0.10989010989
113	91	FANCM	0.10989010989
114	88	GRAP2	0.113636363636
115	88	GABBR2	0.113636363636
116	88	MUC3A	0.113636363636
117	87	CACNB4	0.114942528736
118	86	SYF2	0.116279069767
119	84	SRGAP1	0.119047619048
120	82	ELMO1	0.121951219512
121	82	RYBP	0.121951219512
122	81	BLM	0.123456790123
123	79	TAOK1	0.126582278481
124	79	APC2	0.126582278481
125	79	FZD7	0.126582278481
126	76	POLR2L	0.131578947368
127	75	MAPKAPK2	0.133333333333
128	75	INO80	0.133333333333
129	74	RPP30	0.135135135135
130	74	NCSTN	0.135135135135
131	74	RPL15	0.135135135135
132	73	SESN2	0.13698630137
133	72	SDC2	0.138888888889
134	71	CDC7	0.140845070423
135	69	FBXW5	0.144927536232
136	69	E2F3	0.144927536232
137	69	CACNA1F	0.144927536232
138	68	INPP5B	0.147058823529
139	68	PIWIL2	0.147058823529
140	67	NFKB1	0.149253731343
141	67	SMARCA2	0.149253731343
142	66	RUNX1T1	0.151515151515
143	66	RHO	0.151515151515
144	66	SYT1	0.151515151515
145	64	SRP14	0.15625
146	64	CD48	0.15625
147	64	TAF5	0.15625
148	63	FBXO30	0.15873015873
149	63	NLRP3	0.15873015873
150	62	CDK1	0.161290322581
151	62	KALRN	0.161290322581
152	62	AP1B1	0.161290322581
153	62	BMP6	0.161290322581
154	62	MTA2	0.161290322581
155	61	EXOSC9	0.16393442623
156	61	KCNB1	0.16393442623
157	60	DNAH8	0.166666666667
158	59	DNAH17	0.169491525424
159	58	TAF6	0.172413793103
160	57	TJP2	0.175438596491
161	57	BMP5	0.175438596491
162	56	THBS4	0.178571428571
163	56	PPP2R3A	0.178571428571
164	56	WIF1	0.178571428571
165	55	PIAS3	0.181818181818
166	55	FBLN1	0.181818181818
167	53	TRAPPC9	0.188679245283
168	53	ARFGAP1	0.188679245283
169	52	ISG15	0.192307692308
170	52	PLIN3	0.192307692308
171	52	SORCS2	0.192307692308
172	51	TCIRG1	0.196078431373
173	51	BCAR3	0.196078431373
174	50	WDR46	0.2
175	50	POLR3D	0.2
176	48	ZBTB17	0.208333333333
177	48	GHR	0.208333333333
178	48	MRPS23	0.208333333333
179	48	MRPL13	0.208333333333
180	48	IL1B	0.208333333333
181	47	CCT3	0.212765957447
182	46	TIA1	0.217391304348
183	46	GPR6	0.217391304348
184	45	DLGAP3	0.222222222222
185	45	MED11	0.222222222222
186	44	MAP3K4	0.227272727273
187	44	ARHGEF1	0.227272727273
188	44	ACACA	0.227272727273
189	44	CCR6	0.227272727273
190	44	ARHGAP9	0.227272727273
191	44	LRP5L	0.227272727273
192	43	AVPR1B	0.232558139535
193	43	NDST2	0.232558139535
194	43	TSC1	0.232558139535
195	43	STK36	0.232558139535
196	42	ADCY5	0.238095238095
197	42	GRIN3A	0.238095238095
198	41	NEO1	0.243902439024
199	41	PROS1	0.243902439024
200	41	IFNLR1	0.243902439024
201	40	LLGL2	0.25
202	40	SRGAP3	0.25
203	40	FTSJ3	0.25
204	39	KDM6B	0.25641025641
205	39	KIF5B	0.25641025641
206	39	B3GAT3	0.25641025641
207	39	BNIP3	0.25641025641
208	39	TFDP2	0.25641025641
209	38	SCARB2	0.263157894737
210	38	PROX1	0.263157894737
211	38	TSHZ3	0.263157894737
212	38	HLF	0.263157894737
213	38	IGHD	0.263157894737
214	38	GCG	0.263157894737
215	37	GEMIN7	0.27027027027
216	37	ANXA2	0.27027027027
217	37	NCAPD3	0.27027027027
218	36	OR10R2	0.277777777778
219	35	ADAM12	0.285714285714
220	35	GJC2	0.285714285714
221	34	FOXG1	0.294117647059
