rank	degree	gene	p-value
1	68500	TP53	0.00014598540146
2	46334	EGFR	0.000215824232745
3	16352	PTEN	0.000611545988258
4	15715	PIK3R1	0.000636334712059
5	14159	PIK3CA	0.000706264566707
6	6593	EP300	0.00151676020021
7	5476	TTN	0.0018261504748
8	4921	RB1	0.00203210729527
9	3987	PRKACA	0.00250815149235
10	3552	PLCG2	0.00281531531532
11	3071	NF1	0.00325626831651
12	3034	SPTA1	0.00329597890574
13	2704	CREBBP	0.00369822485207
14	2632	PDGFRA	0.00379939209726
15	2566	SP1	0.00389711613406
16	2450	APOB	0.00408163265306
17	2443	PTPN11	0.00409332787556
18	2347	STAG2	0.004260758415
19	2258	ITGB2	0.0044286979628
20	2003	RYR2	0.00499251123315
21	1971	FAT2	0.0050735667174
22	1508	PRKCB	0.00663129973475
23	1375	COL6A3	0.00727272727273
24	1339	PLCG1	0.00746825989544
25	1333	PIK3R2	0.00750187546887
26	1290	DCTN1	0.0077519379845
27	1201	ANK2	0.00832639467111
28	1094	TCF12	0.0091407678245
29	1037	MAPK3	0.00964320154291
30	965	TUBB4A	0.0103626943005
31	920	NCOA2	0.0108695652174
32	907	RPL5	0.0110253583241
33	866	VAV1	0.0115473441109
34	862	EGR1	0.0116009280742
35	804	TRRAP	0.0124378109453
36	794	RANBP2	0.0125944584383
37	778	VWF	0.012853470437
38	767	ITGA4	0.013037809648
39	717	ITGAD	0.0139470013947
40	677	RTP2	0.0147710487445
41	674	BIN1	0.0148367952522
42	673	SRSF5	0.0148588410104
43	652	LCK	0.0153374233129
44	630	RPS5	0.015873015873
45	620	LRRK2	0.0161290322581
46	580	LMO7	0.0172413793103
47	543	FLT1	0.0184162062615
48	521	GRM8	0.0191938579655
49	499	YY1	0.0200400801603
50	492	NTRK1	0.020325203252
51	470	PCDHA8	0.0212765957447
52	464	IL4R	0.0215517241379
53	460	U2AF2	0.0217391304348
54	435	IKBKB	0.0229885057471
55	411	DNAH8	0.0243309002433
56	394	EP400	0.0253807106599
57	378	LPAR1	0.026455026455
58	377	LAMA2	0.026525198939
59	374	IGF2R	0.0267379679144
60	374	HNRNPF	0.0267379679144
61	363	EEF1A1	0.0275482093664
62	361	SALL4	0.0277008310249
63	341	DSP	0.0293255131965
64	335	NUP214	0.0298507462687
65	325	FZD1	0.0307692307692
66	325	INTS1	0.0307692307692
67	311	GNB1	0.032154340836
68	303	MYH6	0.03300330033
69	300	FANCD2	0.0333333333333
70	289	INS	0.0346020761246
71	289	SNX9	0.0346020761246
72	287	HTR2C	0.0348432055749
73	286	NRXN2	0.034965034965
74	284	LAMB3	0.0352112676056
75	283	BARD1	0.0353356890459
76	277	PCDH9	0.0361010830325
77	276	TNFRSF11A	0.036231884058
78	271	IGKV1D-16	0.0369003690037
79	263	LILRB1	0.0380228136882
80	259	CLASP2	0.03861003861
81	251	CX3CR1	0.0398406374502
82	250	MPL	0.04
83	243	CCNF	0.0411522633745
84	242	NFIC	0.0413223140496
85	239	DCC	0.0418410041841
86	235	INCENP	0.0425531914894
87	233	ARCN1	0.0429184549356
88	230	FAM120B	0.0434782608696
89	227	ERBB4	0.0440528634361
90	224	CDH13	0.0446428571429
91	223	PCM1	0.0448430493274
92	222	MRPL43	0.045045045045
93	218	GATA2	0.045871559633
94	217	BRIP1	0.0460829493088
95	203	PCDHA11	0.0492610837438
96	200	SMAD1	0.05
97	198	RILP	0.0505050505051
98	198	RAB3GAP2	0.0505050505051
99	197	CYLD	0.0507614213198
100	193	CENPJ	0.0518134715026
101	192	IL10RA	0.0520833333333
102	187	GOLGB1	0.0534759358289
103	186	TUBG1	0.0537634408602
104	182	ANAPC5	0.0549450549451
105	182	HTR5A	0.0549450549451
106	178	EPHB6	0.0561797752809
107	177	FIP1L1	0.0564971751412
108	175	PSMA8	0.0571428571429
109	175	CEP97	0.0571428571429
110	172	CDC20	0.0581395348837
111	171	IL21R	0.0584795321637
112	170	DDX20	0.0588235294118
113	169	GNG5	0.0591715976331
114	168	GTF3C1	0.0595238095238
115	164	CTTN	0.0609756097561
116	163	NR0B2	0.0613496932515
117	160	CUL5	0.0625
118	159	CACNA1H	0.062893081761
119	157	NPHS1	0.0636942675159
120	156	GFM1	0.0641025641026
121	155	WNK2	0.0645161290323
122	153	MLLT3	0.0653594771242
123	149	HSF1	0.0671140939597
124	149	GALNT2	0.0671140939597
125	144	SPEN	0.0694444444444
126	137	SLC2A4	0.0729927007299
127	136	WDR19	0.0735294117647
128	134	CHERP	0.0746268656716
129	133	LIG3	0.0751879699248
130	129	IGKV2-30	0.077519379845
131	128	IL18RAP	0.078125
132	127	TLR4	0.0787401574803
133	125	FCHO2	0.08
134	125	TLR3	0.08
135	122	TIA1	0.0819672131148
136	121	GNG4	0.0826446280992
137	120	WNT1	0.0833333333333
138	118	PARD3	0.0847457627119
139	114	RIMS1	0.0877192982456
140	114	POLR3E	0.0877192982456
141	113	GAB2	0.0884955752212
142	113	ITCH	0.0884955752212
143	113	FOXO4	0.0884955752212
144	113	CCL2	0.0884955752212
145	112	LILRB2	0.0892857142857
146	111	RIMS2	0.0900900900901
147	110	GRIP1	0.0909090909091
148	108	TDRD6	0.0925925925926
149	107	SEC23B	0.0934579439252
150	105	PLCZ1	0.0952380952381
151	105	PDGFA	0.0952380952381
152	104	GFM2	0.0961538461538
153	101	ELK1	0.0990099009901
154	101	RPL7	0.0990099009901
155	99	SYCP1	0.10101010101
156	98	CCL3	0.102040816327
157	96	RPS6KA3	0.104166666667
158	96	SSTR2	0.104166666667
159	96	CPSF6	0.104166666667
160	94	MC4R	0.106382978723
161	93	COPG2	0.10752688172
162	93	BMP6	0.10752688172
163	92	IL12RB2	0.108695652174
164	91	FOXP3	0.10989010989
165	88	MIOS	0.113636363636
166	88	RPL22	0.113636363636
167	86	PAK4	0.116279069767
168	83	GRB10	0.120481927711
169	81	GRK5	0.123456790123
170	80	FANCA	0.125
171	80	MCL1	0.125
172	78	MYH10	0.128205128205
173	78	ZC3H11A	0.128205128205
174	78	KRT78	0.128205128205
175	77	ETF1	0.12987012987
176	77	SRGAP1	0.12987012987
177	77	CENPM	0.12987012987
178	76	LLGL2	0.131578947368
179	76	DCLRE1A	0.131578947368
180	76	MOV10	0.131578947368
181	74	TRAP1	0.135135135135
182	74	ATN1	0.135135135135
183	74	MYF6	0.135135135135
184	73	TNNT3	0.13698630137
185	73	SIPA1L1	0.13698630137
186	72	ERN1	0.138888888889
187	72	ARHGEF11	0.138888888889
188	72	APBB2	0.138888888889
189	72	MEFV	0.138888888889
190	71	TCTN3	0.140845070423
191	70	PCDHB10	0.142857142857
192	69	UGT2B11	0.144927536232
