rank	degree	gene	p-value
1	26939	TP53	0.000371209027804
2	23611	PIK3CA	0.000423531404854
3	4279	EP300	0.00233699462491
4	3499	AKT1	0.00285795941698
5	2346	KMT2C	0.00426257459506
6	1772	GATA3	0.00564334085779
7	1309	NOTCH1	0.00763941940413
8	1295	NCOR2	0.00772200772201
9	1212	PIK3R1	0.00825082508251
10	1073	NCOR1	0.00931966449208
11	1016	MAP3K1	0.00984251968504
12	1015	CBFB	0.00985221674877
13	824	ARID1A	0.0121359223301
14	795	ERBB2	0.0125786163522
15	768	EGFR	0.0130208333333
16	678	BRCA1	0.0147492625369
17	666	CTCF	0.015015015015
18	567	NCOA3	0.0176366843034
19	543	NF1	0.0184162062615
20	476	AKAP9	0.0210084033613
21	457	SMARCC2	0.0218818380744
22	413	MLL2	0.0242130750605
23	392	PTEN	0.0255102040816
24	381	FOXO3	0.0262467191601
25	377	SMARCC1	0.026525198939
26	375	ERBB4	0.0266666666667
27	349	RB1	0.0286532951289
28	321	JAK1	0.0311526479751
29	285	KDM3A	0.0350877192982
30	255	PRKCZ	0.0392156862745
31	230	ALK	0.0434782608696
32	222	NR3C1	0.045045045045
33	215	MLLT4	0.046511627907
34	201	FOXO1	0.0497512437811
35	192	CTNNA1	0.0520833333333
36	189	PDE4DIP	0.0529100529101
37	155	UTRN	0.0645161290323
38	150	KRAS	0.0666666666667
39	140	PRKCE	0.0714285714286
40	139	HDAC9	0.0719424460432
41	123	GPS2	0.0813008130081
42	108	CDKN2A	0.0925925925926
43	105	HRAS	0.0952380952381
44	104	SIK1	0.0961538461538
45	103	PTPRD	0.0970873786408
46	97	TBL1XR1	0.103092783505
47	92	LIFR	0.108695652174
48	91	BRIP1	0.10989010989
49	90	KDM6A	0.111111111111
50	84	SMAD2	0.119047619048
51	60	ASXL2	0.166666666667
52	50	CCND3	0.2
53	48	SHANK2	0.208333333333
54	40	PPP2CB	0.25
55	39	L1CAM	0.25641025641
56	33	FAM20C	0.30303030303
57	31	FOXP1	0.322580645161
58	27	UBR5	0.37037037037
59	27	NRAS	0.37037037037
60	24	SF3B1	0.416666666667
61	21	BCAS3	0.47619047619
62	20	AGTR2	0.5
63	20	OR6A2	0.5
64	19	SIAH1	0.526315789474
65	18	LAMB3	0.555555555556
66	15	NRG3	0.666666666667
67	15	ACVRL1	0.666666666667
68	10	ARID5B	1.0
