rank	degree	gene	p-value
1	190976	TP53	5.23626005362e-05
2	9591	EP300	0.00104264414555
3	6053	TTN	0.00165207335206
4	5964	UBC	0.00167672702884
5	4226	CREBBP	0.00236630383341
6	4047	PIK3CA	0.00247096614776
7	3129	APOB	0.00319590923618
8	1977	RB1	0.00505816894284
9	1740	TAF1	0.00574712643678
10	1589	COL6A3	0.00629326620516
11	1527	MUC16	0.00654878847413
12	1495	STAT2	0.0066889632107
13	1488	SP1	0.00672043010753
14	1484	POLR2A	0.00673854447439
15	1417	PIK3R2	0.00705716302047
16	1398	NCOR2	0.0071530758226
17	1397	INSR	0.00715819613457
18	1235	PLK1	0.0080971659919
19	1214	CKAP5	0.00823723228995
20	1168	UBA52	0.00856164383562
21	1052	RNPS1	0.00950570342205
22	1042	EIF4G1	0.00959692898273
23	1038	FLNA	0.00963391136802
24	1037	CTNNB1	0.00964320154291
25	829	ACTN2	0.0120627261761
26	819	PIK3CG	0.01221001221
27	808	JUN	0.0123762376238
28	797	CTNNA1	0.0125470514429
29	770	EIF4A3	0.012987012987
30	759	NUP133	0.0131752305665
31	759	SMC3	0.0131752305665
32	734	PCDHA2	0.0136239782016
33	727	GNA11	0.0137551581843
34	717	COL5A3	0.0139470013947
35	676	PLCB3	0.0147928994083
36	674	NCOA1	0.0148367952522
37	665	CDC20	0.015037593985
38	659	C2CD3	0.0151745068285
39	655	SPTBN4	0.0152671755725
40	637	BTRC	0.0156985871272
41	637	PTBP1	0.0156985871272
42	617	HDAC1	0.0162074554295
43	615	LAMA2	0.0162601626016
44	601	ESPL1	0.0166389351082
45	582	LYN	0.0171821305842
46	560	ATR	0.0178571428571
47	559	PAK3	0.0178890876565
48	529	PSME4	0.0189035916824
49	529	DNAH5	0.0189035916824
50	525	FBXW11	0.0190476190476
51	519	SF3A1	0.019267822736
52	517	NUP85	0.0193423597679
53	514	PDCD11	0.0194552529183
54	511	RASGRF2	0.0195694716243
55	503	DDX42	0.0198807157058
56	488	MED1	0.0204918032787
57	480	F2	0.0208333333333
58	469	SYNJ2	0.0213219616205
59	466	PCDH20	0.0214592274678
60	454	ODF2	0.0220264317181
61	453	GLI1	0.0220750551876
62	451	INPP5D	0.0221729490022
63	450	LMO7	0.0222222222222
64	445	KIF3B	0.0224719101124
65	432	PML	0.0231481481481
66	417	GRIA2	0.0239808153477
67	415	PCDH18	0.0240963855422
68	407	THBS1	0.02457002457
69	388	JAK1	0.0257731958763
70	387	CHD4	0.0258397932817
71	382	TNF	0.0261780104712
72	382	CEP164	0.0261780104712
73	381	SRSF4	0.0262467191601
74	375	PRKD1	0.0266666666667
75	371	IL21R	0.0269541778976
