rank	degree	gene	p-value
1	68500	TP53	0.00014598540146
2	46334	EGFR	0.000215824232745
3	16352	PTEN	0.000611545988258
4	15715	PIK3R1	0.000636334712059
5	14159	PIK3CA	0.000706264566707
6	6593	EP300	0.00151676020021
7	5476	TTN	0.0018261504748
8	4921	RB1	0.00203210729527
9	3987	PRKACA	0.00250815149235
10	3579	PLCG2	0.0027940765577
11	3336	UBC	0.00299760191847
12	2846	MUC16	0.00351370344343
13	2512	PTPN11	0.00398089171975
14	2439	LRP2	0.00410004100041
15	2373	APOB	0.00421407501054
16	2363	STAG2	0.00423190859077
17	2219	PIK3CB	0.00450653447499
18	1866	GNAT3	0.005359056806
19	1865	DYNC1H1	0.00536193029491
20	1608	FLNA	0.00621890547264
21	1521	KDR	0.00657462195924
22	1448	STAT1	0.00690607734807
23	1380	FOXA1	0.00724637681159
24	1265	ATRX	0.00790513833992
25	1178	MUC17	0.00848896434635
26	1161	HUWE1	0.00861326442722
27	1116	COL1A2	0.0089605734767
28	1043	NOS1	0.00958772770853
29	1037	IGF1R	0.00964320154291
30	1013	TPR	0.00987166831194
31	995	CUL1	0.0100502512563
32	979	BRCA1	0.0102145045965
33	889	CTNNA2	0.0112485939258
34	855	NRAS	0.0116959064327
35	828	ITGB4	0.012077294686
36	777	CACNA1S	0.01287001287
37	726	SMC3	0.0137741046832
38	701	ARRB2	0.0142653352354
39	659	IL12RB1	0.0151745068285
40	601	NCBP2	0.0166389351082
41	586	HDAC2	0.0170648464164
42	586	C3	0.0170648464164
43	582	ITGB7	0.0171821305842
44	571	TP63	0.0175131348511
45	545	HELZ2	0.0183486238532
46	540	AMPH	0.0185185185185
47	531	CSF2RA	0.0188323917137
48	476	DST	0.0210084033613
49	470	FLT1	0.0212765957447
50	445	AXIN1	0.0224719101124
51	444	DLG4	0.0225225225225
52	440	NOTCH4	0.0227272727273
53	432	HNRNPA2B1	0.0231481481481
54	426	ITGB3	0.0234741784038
55	414	LPAR1	0.024154589372
56	406	SEC13	0.0246305418719
57	399	VAV2	0.0250626566416
58	381	HNRNPR	0.0262467191601
59	377	ITGB5	0.026525198939
60	371	ITGA9	0.0269541778976
61	361	NINL	0.0277008310249
62	361	AGRN	0.0277008310249
63	340	DSP	0.0294117647059
64	338	NUP160	0.0295857988166
65	320	FYN	0.03125
66	316	PAPOLA	0.0316455696203
67	309	ZNF263	0.0323624595469
68	288	CCNT1	0.0347222222222
69	286	PRKCA	0.034965034965
70	286	KRT18	0.034965034965
71	284	NCAN	0.0352112676056
72	283	DHX37	0.0353356890459
73	281	ROR2	0.0355871886121
74	281	MKS1	0.0355871886121
75	270	PCDH10	0.037037037037
76	269	ALYREF	0.0371747211896
77	267	PRPF6	0.0374531835206
78	266	ROCK1	0.0375939849624
79	255	GPKOW	0.0392156862745
80	254	SMAD2	0.0393700787402
81	253	SUPT6H	0.0395256916996
82	249	PCNA	0.0401606425703
83	236	MCM7	0.0423728813559
84	233	RPSA	0.0429184549356
85	231	RPS21	0.04329004329
86	229	TERT	0.0436681222707
87	225	VCL	0.0444444444444
88	217	NGF	0.0460829493088
89	204	GTF2H1	0.0490196078431
90	201	CCL5	0.0497512437811
91	199	CALCR	0.0502512562814
92	194	SMAD4	0.0515463917526
93	188	COL4A3	0.0531914893617
94	183	CCNB1	0.0546448087432
95	179	CACNA1A	0.0558659217877
96	179	EPHA6	0.0558659217877
97	178	DRD1	0.0561797752809
98	177	SF1	0.0564971751412
99	174	LAMA4	0.0574712643678
100	170	ESRRB	0.0588235294118
101	161	PRKG1	0.0621118012422
102	160	HLA-DQB2	0.0625
103	160	GABRA4	0.0625
104	158	GALNT6	0.0632911392405
105	157	ITCH	0.0636942675159
106	157	KIF22	0.0636942675159
107	156	GFM1	0.0641025641026
108	155	SPDL1	0.0645161290323
109	153	FBXW11	0.0653594771242
110	153	ITPR2	0.0653594771242
111	150	STARD13	0.0666666666667
112	149	S1PR1	0.0671140939597
113	147	HES1	0.0680272108844
114	146	CD44	0.0684931506849
115	143	PRKAA2	0.0699300699301
116	140	PAN3	0.0714285714286
117	139	TRAPPC10	0.0719424460432
118	138	PSMC5	0.0724637681159
119	137	KIF5C	0.0729927007299
120	134	KRT19	0.0746268656716
121	134	EIF4H	0.0746268656716
122	132	TP53BP1	0.0757575757576
123	130	LRRC7	0.0769230769231
124	130	NR1D1	0.0769230769231
125	128	AURKA	0.078125
126	128	RBM28	0.078125
127	122	EXOC8	0.0819672131148
128	122	KRT37	0.0819672131148
129	122	PDHA2	0.0819672131148
130	118	NOP14	0.0847457627119
131	117	LIG3	0.0854700854701
132	114	PLK4	0.0877192982456
133	113	MC2R	0.0884955752212
134	112	TAF2	0.0892857142857
135	112	MRPL16	0.0892857142857
136	111	KRT33A	0.0900900900901
137	108	KRT79	0.0925925925926
138	106	RAC2	0.0943396226415
139	106	TAF6	0.0943396226415
140	104	SNRPD3	0.0961538461538
141	104	GNB5	0.0961538461538
142	104	GPC3	0.0961538461538
143	102	FOXO4	0.0980392156863
144	101	SLC18A3	0.0990099009901
145	101	CSNK1G3	0.0990099009901
146	100	POU5F1	0.1
147	100	E2F6	0.1
148	98	COL10A1	0.102040816327
149	98	CALD1	0.102040816327
150	97	NDUFAF6	0.103092783505
151	96	KIF5B	0.104166666667
152	96	DNAH1	0.104166666667
153	94	DIDO1	0.106382978723
154	94	NFIA	0.106382978723
155	93	TUBB6	0.10752688172
156	92	GABBR1	0.108695652174
157	92	CDK19	0.108695652174
158	91	FOXO3	0.10989010989
159	91	CEP72	0.10989010989
160	91	SND1	0.10989010989
161	90	BAZ1B	0.111111111111
162	90	NR1H2	0.111111111111
163	89	FGF20	0.112359550562
164	89	OCLN	0.112359550562
165	88	KRT24	0.113636363636
166	87	RPL22	0.114942528736
167	86	MLLT3	0.116279069767
168	86	PER1	0.116279069767
169	85	KRT17	0.117647058824
170	85	CENPQ	0.117647058824
171	84	PIK3R6	0.119047619048
172	83	KMT2B	0.120481927711
173	82	RAPGEF3	0.121951219512
174	79	MYO5A	0.126582278481
175	79	SNAP47	0.126582278481
176	79	CALML3	0.126582278481
177	78	BUB3	0.128205128205
178	78	NOL3	0.128205128205
179	78	MOV10	0.128205128205
180	77	SELE	0.12987012987
181	76	DLG2	0.131578947368
182	74	PRKCE	0.135135135135
183	74	MEF2C	0.135135135135
184	74	GMEB2	0.135135135135
185	73	REC8	0.13698630137
186	73	MTMR8	0.13698630137
187	73	PSIP1	0.13698630137
188	73	WLS	0.13698630137
189	72	GNGT1	0.138888888889
190	71	C2	0.140845070423
191	71	LLGL1	0.140845070423
192	71	OR10A3	0.140845070423
